"country_name,Customer,Energy_Classificatory,Year,Energy_Consumption"
"Hungary,Energy,Biofuels,2005,NA"
"Hungary,Energy,Biofuels,2006,NA"
"Hungary,Energy,Biofuels,2007,NA"
"Hungary,Energy,Biofuels,2008,NA"
"Hungary,Energy,Biofuels,2009,NA"
"Hungary,Energy,Biofuels,2010,NA"
"Hungary,Energy,Biofuels,2011,NA"
"Hungary,Energy,Biofuels,2012,NA"
"Hungary,Energy,Biofuels,2013,NA"
"Hungary,Energy,Biofuels,2014,NA"
"Hungary,Energy,Biofuels,2015,NA"
"Hungary,Energy,Biofuels,2016,NA"
"Hungary,Energy,Biofuels,2017,NA"
"Hungary,Energy,Biofuels,2018,NA"
"Hungary,Energy,Biofuels,2019,NA"
"Hungary,Energy,Biofuels,2020,NA"
"Hungary,Energy,Biofuels,2021,0"
"Hungary,Energy,Biofuels,2022,0"
"Hungary,Energy,Biofuels,2023,0"
"Malta,Energy,Biofuels,2004,NA"
"Malta,Energy,Biofuels,2005,NA"
"Malta,Energy,Biofuels,2006,NA"
"Malta,Energy,Biofuels,2007,NA"
"Malta,Energy,Biofuels,2008,NA"
"Malta,Energy,Biofuels,2009,NA"
"Malta,Energy,Biofuels,2010,NA"
"Malta,Energy,Biofuels,2011,NA"
"Malta,Energy,Biofuels,2012,NA"
"Malta,Energy,Biofuels,2013,NA"
"Malta,Energy,Biofuels,2014,NA"
"Malta,Energy,Biofuels,2015,NA"
"Malta,Energy,Biofuels,2016,NA"
"Malta,Energy,Biofuels,2017,NA"
"Malta,Energy,Biofuels,2018,NA"
"Malta,Energy,Biofuels,2019,NA"
"Malta,Energy,Biofuels,2020,NA"
"Malta,Energy,Biofuels,2021,0"
"Malta,Energy,Biofuels,2022,0"
"Malta,Energy,Biofuels,2023,0"
"Netherlands,Energy,Biofuels,2004,NA"
"Netherlands,Energy,Biofuels,2005,NA"
"Netherlands,Energy,Biofuels,2006,NA"
"Netherlands,Energy,Biofuels,2007,NA"
"Netherlands,Energy,Biofuels,2008,NA"
"Netherlands,Energy,Biofuels,2009,NA"
"Netherlands,Energy,Biofuels,2010,NA"
"Netherlands,Energy,Biofuels,2011,NA"
"Netherlands,Energy,Biofuels,2012,NA"
"Netherlands,Energy,Biofuels,2013,NA"
"Netherlands,Energy,Biofuels,2014,NA"
"Netherlands,Energy,Biofuels,2015,0"
"Netherlands,Energy,Biofuels,2016,0"
"Netherlands,Energy,Biofuels,2017,0"
"Netherlands,Energy,Biofuels,2018,0"
"Netherlands,Energy,Biofuels,2019,0"
"Netherlands,Energy,Biofuels,2020,0"
"Netherlands,Energy,Biofuels,2021,0"
"Netherlands,Energy,Biofuels,2022,0"
"Netherlands,Energy,Biofuels,2023,0"
"Austria,Energy,Biofuels,2004,NA"
"Austria,Energy,Biofuels,2005,NA"
"Austria,Energy,Biofuels,2006,NA"
"Austria,Energy,Biofuels,2007,NA"
"Austria,Energy,Biofuels,2008,NA"
"Austria,Energy,Biofuels,2009,NA"
"Austria,Energy,Biofuels,2010,NA"
"Austria,Energy,Biofuels,2011,NA"
"Austria,Energy,Biofuels,2012,NA"
"Austria,Energy,Biofuels,2013,NA"
"Austria,Energy,Biofuels,2014,NA"
"Austria,Energy,Biofuels,2015,NA"
"Austria,Energy,Biofuels,2016,NA"
